"Група";"Матеріал / виріб";"Одиниця";"Без запасу";"Запас, %";"Із запасом";"Примітка";"Розрахунок"
"Фасад";"Біле фасадне облицювання";"м²";"73,44";"10";"80,78";"Вертикальні стіни до карниза; без прорізів, дерев’яних вставок і фронтонів.";"2 × (13 + 4,92) × 2,70 − 17,968 − 5,36"
"Фасад";"Дерев’яні вставки біля двох входів";"м²";"5,36";"10";"5,90";"Площа двох зон 1,60 × 2,70 м із вирахуванням дверей.";"2 × (1,60 × 2,70 − 0,80 × 2,05)"
"Фасад";"Оздоблення двох фронтонів";"м²";"8,86";"10";"9,74";"Окремо від стін і схилів даху; матеріал оздоблення уточнити.";"2 × 0,5 × 4,92 × 1,80"
"Покрівля";"Фальцева покрівля основного даху";"м²";"96,31";"10";"105,94";"Два схили зі звисами; без фронтонів і добірних планок.";"2 × 13,90 × √(2,91² + 1,88²)"
"Покрівля";"Фальцева покрівля накриття тераси";"м²";"31,05";"10";"34,15";"Похила площа зі звисами; без підшивки та опор.";"13,40 × √(2,30² + 0,28²)"
"Тераси";"Дерев’яний настил двох терас";"м²";"26,00";"10";"28,60";"По 13,00 м² на секцію; без лаг, кріплень і торцевого оздоблення.";"2 × 6,50 × 2,00"
"Тераси";"Дерев’яні проступи сходів";"м²";"0,88";"10";"0,97";"Лише відкриті горизонтальні поверхні; без підсходинок і перекриття настилом тераси.";"2 × 1,10 × (0,20 + 0,20)"
"Благоустрій";"Бруківка: парковка, проїзд і дві BBQ-зони";"м²";"120,30";"5";"126,31";"Парковка 32,214 м²; проїзд 78,8822 м²; BBQ 9,20 м². Без основи й бордюрів.";"5,46 × 5,90 + 2,63 × 13,60 + 3,62 × 11,91 + 2 × 1,84 × 2,50"
"Огорожа";"Довжина паркану без воріт";"пог. м";"108,63";"0";"108,63";"Усі відрізки ступінчастої межі. Запас на довжину межі не додається.";"2 × (15,20 + 40,43) − 2,63"
"Огорожа";"Профнастил паркану висотою 1,80 м";"м²";"195,53";"5";"205,31";"Площа заповнення одного боку; без воріт, стовпів і поперечин. Листи підбирати за корисною шириною.";"108,63 × 1,80"
"Огорожа";"Двостулкові в’їзні ворота";"компл.";"1,00";"0";"1,00";"Проріз 2,63 м; розміри стулок та фурнітура — після заміру.";"1 комплект на в’їзд"
"Водостоки";"Жолоб накриття тераси";"пог. м";"13,50";"5";"14,18";"Лише змодельована передня лінія тераси; без основного даху та фасонних деталей.";"13,50"
"Водостоки";"Водостічні труби накриття тераси";"пог. м";"4,96";"5";"5,21";"Дві труби по 2,48 м; без колін, воронок і відведення води по ділянці.";"2 × 2,48"
"Прорізи";"В-1 — фасадне скління 2400 × 2360 мм";"шт.";"2,00";"0";"2,00";"По одному на секцію; розміри за специфікацією, схеми відкривання уточнити.";"1 × 2 секції"
"Прорізи";"В-2 — вікна санвузлів 800 × 600 мм";"шт.";"2,00";"0";"2,00";"По одному на секцію.";"1 × 2 секції"
"Прорізи";"В-3 — вікна спалень 1200 × 1000 мм";"шт.";"2,00";"0";"2,00";"По одному на секцію.";"1 × 2 секції"
"Прорізи";"Д-1 — вхідні двері 800 × 2050 мм";"шт.";"2,00";"0";"2,00";"Графітові, зі скляною вставкою; відкривання назовні.";"1 × 2 секції"
"Прорізи";"Д-2 — двері спалень 800 × 2050 мм";"шт.";"2,00";"0";"2,00";"Відкривання в прихожу.";"1 × 2 секції"
"Прорізи";"Д-3 — двері санвузлів 800 × 2050 мм";"шт.";"2,00";"0";"2,00";"Відкривання у санвузол.";"1 × 2 секції"
